image_id,relative_path,label,label_id,domain,data_variant,split,protocol
SLR_coal_000026,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/coal/238_jpg.rf.d744252164b156f844e08ada07a9b090_0.jpg,coal,0,source,Source_Domain_Lab_Raw,test,P1
SLR_coal_000027,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/coal/208_jpg.rf.fcd22c245ffeeff8cfc6af6a2da28bb8_1.jpg,coal,0,source,Source_Domain_Lab_Raw,test,P1
SLR_coal_000028,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/coal/226_jpg.rf.a4bffe3f6649054ccb2a88998357f5a6_2.jpg,coal,0,source,Source_Domain_Lab_Raw,test,P1
SLR_coal_000029,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/coal/234_jpg.rf.74a621f1447b098d41d34d685a8a7100_0.jpg,coal,0,source,Source_Domain_Lab_Raw,test,P1
SLR_coal_000030,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/coal/222_jpg.rf.91736fefadc66d3ea0259713ddd2040f_0.jpg,coal,0,source,Source_Domain_Lab_Raw,test,P1
SLR_gangue_000026,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/gangue/246_jpg.rf.eb3f9bf94a81c1803955ad5abf532bd1_1.jpg,gangue,1,source,Source_Domain_Lab_Raw,test,P1
SLR_gangue_000027,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/gangue/143_jpg.rf.895d47a579b70d99fedaf91c59352d5b_2.jpg,gangue,1,source,Source_Domain_Lab_Raw,test,P1
SLR_gangue_000028,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/gangue/90_jpg.rf.4df7d7a4908766b3c7eafbac754dda0e_0.jpg,gangue,1,source,Source_Domain_Lab_Raw,test,P1
SLR_gangue_000029,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/gangue/134_jpg.rf.221515820cfb00b169dcd29335e4ab2c_2.jpg,gangue,1,source,Source_Domain_Lab_Raw,test,P1
SLR_gangue_000030,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/gangue/90_jpg.rf.4df7d7a4908766b3c7eafbac754dda0e_2.jpg,gangue,1,source,Source_Domain_Lab_Raw,test,P1
SLR_coal_000001,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/coal/160_jpg.rf.17c346bee8febb400970631e145c08ec_0.jpg,coal,0,source,Source_Domain_Lab_Raw,train,P1
SLR_coal_000002,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/coal/227_jpg.rf.01cdf36784742166d6b5d8c75a84c4f1_0.jpg,coal,0,source,Source_Domain_Lab_Raw,train,P1
SLR_coal_000003,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/coal/227_jpg.rf.01cdf36784742166d6b5d8c75a84c4f1_1.jpg,coal,0,source,Source_Domain_Lab_Raw,train,P1
SLR_coal_000004,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/coal/213_jpg.rf.50bd504fb65b705be0068114c9859979_1.jpg,coal,0,source,Source_Domain_Lab_Raw,train,P1
SLR_coal_000005,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/coal/160_jpg.rf.17c346bee8febb400970631e145c08ec_1.jpg,coal,0,source,Source_Domain_Lab_Raw,train,P1
SLR_coal_000006,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/coal/213_jpg.rf.50bd504fb65b705be0068114c9859979_3.jpg,coal,0,source,Source_Domain_Lab_Raw,train,P1
SLR_coal_000007,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/coal/227_jpg.rf.01cdf36784742166d6b5d8c75a84c4f1_2.jpg,coal,0,source,Source_Domain_Lab_Raw,train,P1
SLR_coal_000008,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/coal/234_jpg.rf.74a621f1447b098d41d34d685a8a7100_1.jpg,coal,0,source,Source_Domain_Lab_Raw,train,P1
SLR_coal_000009,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/coal/173_jpg.rf.094211ab45499bb2e09e97161608d2ad_2.jpg,coal,0,source,Source_Domain_Lab_Raw,train,P1
SLR_coal_000010,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Raw/coal/213_jpg.rf.50bd504fb65b705be0068114c9859979_0.jpg,coal,0,source,Source_Domain_Lab_Raw,train,P1
