image_id,relative_path,label,label_id,domain,data_variant,split,protocol
TFR_coal_000026,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004271_jpg.rf.efbdd93acc9bb1c238b08842f9bc80a3_6.jpg,coal,0,target,Target_Domain_Field_Raw,test,P2
TFR_coal_000027,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004271_jpg.rf.efbdd93acc9bb1c238b08842f9bc80a3_7.jpg,coal,0,target,Target_Domain_Field_Raw,test,P2
TFR_coal_000028,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004289_jpg.rf.e8caa860104c8866361fe05d8273d8b4_8.jpg,coal,0,target,Target_Domain_Field_Raw,test,P2
TFR_coal_000029,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004271_jpg.rf.efbdd93acc9bb1c238b08842f9bc80a3_8.jpg,coal,0,target,Target_Domain_Field_Raw,test,P2
TFR_coal_000030,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004274_jpg.rf.f16ad7568223f6454eabd2d3b9bf374a_3.jpg,coal,0,target,Target_Domain_Field_Raw,test,P2
TFR_gangue_000026,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004004_jpg.rf.f95dd1a11bc9fb9e93d69dbb211b630b_4.jpg,gangue,1,target,Target_Domain_Field_Raw,test,P2
TFR_gangue_000027,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004019_jpg.rf.6d3bfcd41e53756520ef05bf810e7c35_8.jpg,gangue,1,target,Target_Domain_Field_Raw,test,P2
TFR_gangue_000028,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004005_jpg.rf.904fb44ac57c94a90371811d40a897de_3.jpg,gangue,1,target,Target_Domain_Field_Raw,test,P2
TFR_gangue_000029,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004028_jpg.rf.4fab9c756d4b6669b0688b63d6490e2f_3.jpg,gangue,1,target,Target_Domain_Field_Raw,test,P2
TFR_gangue_000030,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004015_jpg.rf.ce75108dc9c00aee9ef8d64c30d81aee_6.jpg,gangue,1,target,Target_Domain_Field_Raw,test,P2
TFR_coal_000001,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004274_jpg.rf.f16ad7568223f6454eabd2d3b9bf374a_4.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000002,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004268_jpg.rf.3ffeea73e083d9aceccac57a6350a974_2.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
TFR_coal_000003,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004271_jpg.rf.efbdd93acc9bb1c238b08842f9bc80a3_4.jpg,coal,0,target,Target_Domain_Field_Raw,train,P2
