image_id,relative_path,label,label_id,domain,data_variant,split,protocol
TFR_coal_000026,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004271_jpg.rf.efbdd93acc9bb1c238b08842f9bc80a3_6.jpg,coal,0,target,Target_Domain_Field_Raw,test,P4
TFR_coal_000027,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004271_jpg.rf.efbdd93acc9bb1c238b08842f9bc80a3_7.jpg,coal,0,target,Target_Domain_Field_Raw,test,P4
TFR_coal_000028,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004289_jpg.rf.e8caa860104c8866361fe05d8273d8b4_8.jpg,coal,0,target,Target_Domain_Field_Raw,test,P4
TFR_coal_000029,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004271_jpg.rf.efbdd93acc9bb1c238b08842f9bc80a3_8.jpg,coal,0,target,Target_Domain_Field_Raw,test,P4
TFR_coal_000030,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/coal/004274_jpg.rf.f16ad7568223f6454eabd2d3b9bf374a_3.jpg,coal,0,target,Target_Domain_Field_Raw,test,P4
TFR_gangue_000026,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004004_jpg.rf.f95dd1a11bc9fb9e93d69dbb211b630b_4.jpg,gangue,1,target,Target_Domain_Field_Raw,test,P4
TFR_gangue_000027,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004019_jpg.rf.6d3bfcd41e53756520ef05bf810e7c35_8.jpg,gangue,1,target,Target_Domain_Field_Raw,test,P4
TFR_gangue_000028,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004005_jpg.rf.904fb44ac57c94a90371811d40a897de_3.jpg,gangue,1,target,Target_Domain_Field_Raw,test,P4
TFR_gangue_000029,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004028_jpg.rf.4fab9c756d4b6669b0688b63d6490e2f_3.jpg,gangue,1,target,Target_Domain_Field_Raw,test,P4
TFR_gangue_000030,01_Dataset/Dataset_To_Be_Added/Target_Domain_Field_Raw/gangue/004015_jpg.rf.ce75108dc9c00aee9ef8d64c30d81aee_6.jpg,gangue,1,target,Target_Domain_Field_Raw,test,P4
SLE_coal_000001,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/47_jpg.rf.3ee0cd03eb40b9c230e8f4922fc32db1_11.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000002,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/49_jpg.rf.950341f1e343ac23e652552deba93f8f_5.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000003,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/47_jpg.rf.3ee0cd03eb40b9c230e8f4922fc32db1_9.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000004,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/45_jpg.rf.4fa6a2f524782858ba4454929d8036ff_6.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000005,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/45_jpg.rf.4fa6a2f524782858ba4454929d8036ff_8.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000006,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/47_jpg.rf.3ee0cd03eb40b9c230e8f4922fc32db1_10.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000007,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/47_jpg.rf.3ee0cd03eb40b9c230e8f4922fc32db1_16.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000008,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/49_jpg.rf.950341f1e343ac23e652552deba93f8f_9.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000009,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/47_jpg.rf.3ee0cd03eb40b9c230e8f4922fc32db1_13.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000010,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/47_jpg.rf.3ee0cd03eb40b9c230e8f4922fc32db1_7.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000011,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/49_jpg.rf.950341f1e343ac23e652552deba93f8f_12.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000012,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/49_jpg.rf.950341f1e343ac23e652552deba93f8f_11.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000013,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/49_jpg.rf.950341f1e343ac23e652552deba93f8f_6.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000014,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/47_jpg.rf.3ee0cd03eb40b9c230e8f4922fc32db1_15.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000015,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/45_jpg.rf.4fa6a2f524782858ba4454929d8036ff_7.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000016,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/47_jpg.rf.3ee0cd03eb40b9c230e8f4922fc32db1_6.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000017,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/47_jpg.rf.3ee0cd03eb40b9c230e8f4922fc32db1_12.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000018,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/45_jpg.rf.4fa6a2f524782858ba4454929d8036ff_13.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000019,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/45_jpg.rf.4fa6a2f524782858ba4454929d8036ff_9.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000020,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/47_jpg.rf.3ee0cd03eb40b9c230e8f4922fc32db1_14.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000021,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/45_jpg.rf.4fa6a2f524782858ba4454929d8036ff_10.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000022,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/48_jpg.rf.a5c047b234e77e46158d5267a5010edd_0.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
SLE_coal_000023,01_Dataset/Dataset_To_Be_Added/Source_Domain_Lab_Enhanced/coal/49_jpg.rf.950341f1e343ac23e652552deba93f8f_10.jpg,coal,0,source,Source_Domain_Lab_Enhanced,train,P4
